,Unnamed: 0_x,Unnamed: 0_x_x,geometry,index_right_x_x,Unnamed: 0.1_x_x,stationId_x_x,x_x_x,y_x_x,minTempJanuary,minTempFebruary,minTempMarch,minTempApril,minTempMay,minTempJune,minTempJuly,minTempAugust,minTempSeptember,minTempOctober,minTempNovember,minTempDecember,Unnamed: 0_y_x,index_right_y_x,Unnamed: 0.1_y_x,stationId_y_x,x_y_x,y_y_x,maxTempJanuary,maxTempFebruary,maxTempMarch,maxTempApril,maxTempMay,maxTempJune,maxTempJuly,maxTempAugust,maxTempSeptember,maxTempOctober,maxTempNovember,maxTempDecember,Unnamed: 0_y,Unnamed: 0_x_y,index_right_x_y,Unnamed: 0.1_x_y,stationId_x_y,x_x_y,y_x_y,rainJanuary,rainFebruary,rainMarch,rainApril,rainMay,rainJune,rainJuly,rainAugust,rainSeptember,rainOctober,rainNovember,rainDecember,Unnamed: 0_y_y,index_right_y_y,Unnamed: 0.1_y_y,stationId_y_y,x_y_y,y_y_y,sunJanuary,sunFebruary,sunMarch,sunApril,sunMay,sunJune,sunJuly,sunAugust,sunSeptember,sunOctober,sunNovember,sunDecember
0,0,0,"POLYGON ((908433.4348778214 7496684.861747535, 908433.4348778214 7506684.861747535, 898433.4348778214 7506684.861747535, 898433.4348778214 7496684.861747535, 908433.4348778214 7496684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5,0,35,35,6081,8.0828,55.5575,8.05,5.85,9.55,12.8,21.8,21.5,22.5,24.2,19.3,16.4,13.3,9.3,0,0,7,7,6081,8.0828,55.5575,7.05,7.25,6.15,7.4,5.9,7.2,6.6,7.1,5.9,9.3,8.0,8.100000000000001,0,12,12,6058,8.1413,56.0072,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666
1,1,1,"POLYGON ((908433.4348778214 7686684.861747535, 908433.4348778214 7696684.861747535, 898433.4348778214 7696684.861747535, 898433.4348778214 7686684.861747535, 908433.4348778214 7686684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5,1,37,37,6052,8.215,56.7068,8.3,6.3,11.8,12.7,22.3,21.3,23.7,23.3,21.0,17.2,12.8,9.5,1,1,4,4,6052,8.215,56.7068,6.45,6.7,6.45,7.9,6.0,7.5,6.7,6.6,5.6,8.9,8.0,7.9,1,20,20,6019,8.6412,56.93,58.93333333333334,75.95,117.125,191.36666666666667,229.1,221.1,194.9,192.8,155.73333333333332,90.23333333333332,63.03333333333333,40.833333333333336
2,2,2,"POLYGON ((928433.4348778214 7746684.861747535, 928433.4348778214 7756684.861747535, 918433.4348778214 7756684.861747535, 918433.4348778214 7746684.861747535, 928433.4348778214 7746684.861747535))",6,6,6019,8.6412,56.93,-5.65,-7.550000000000001,-6.449999999999999,-0.9,2.2,7.4,8.1,8.8,6.7,3.2,-0.9,-2.4,2,20,20,6019,8.6412,56.93,8.5,6.6,12.3,13.4,24.2,22.7,22.1,24.0,20.0,16.4,12.1,10.0,2,2,33,33,6019,8.6412,56.93,5.4,6.1,5.7,6.5,4.9,6.0,5.0,4.8,4.4,6.3,5.4,6.35,2,20,20,6019,8.6412,56.93,58.93333333333334,75.95,117.125,191.36666666666667,229.1,221.1,194.9,192.8,155.73333333333332,90.23333333333332,63.03333333333333,40.833333333333336
3,3,4,"POLYGON ((938433.4348778214 7756684.861747535, 938433.4348778214 7766684.861747535, 928433.4348778214 7766684.861747535, 928433.4348778214 7756684.861747535, 938433.4348778214 7756684.861747535))",6,6,6019,8.6412,56.93,-5.65,-7.550000000000001,-6.449999999999999,-0.9,2.2,7.4,8.1,8.8,6.7,3.2,-0.9,-2.4,4,20,20,6019,8.6412,56.93,8.5,6.6,12.3,13.4,24.2,22.7,22.1,24.0,20.0,16.4,12.1,10.0,3,4,33,33,6019,8.6412,56.93,5.4,6.1,5.7,6.5,4.9,6.0,5.0,4.8,4.4,6.3,5.4,6.35,4,20,20,6019,8.6412,56.93,58.93333333333334,75.95,117.125,191.36666666666667,229.1,221.1,194.9,192.8,155.73333333333332,90.23333333333332,63.03333333333333,40.833333333333336
4,4,3,"POLYGON ((938433.4348778214 7656684.861747535, 938433.4348778214 7666684.861747535, 928433.4348778214 7666684.861747535, 928433.4348778214 7656684.861747535, 938433.4348778214 7656684.861747535))",34,34,6056,8.6705,56.383,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0,3,2,2,6056,8.6705,56.383,8.65,6.85,13.8,14.7,26.8,24.2,23.6,24.6,21.4,17.6,12.6,9.8,4,3,25,25,6056,8.6705,56.383,4.6,5.3,5.0,5.3,4.4,4.8,3.8,3.8,3.5,5.4,4.2,5.25,3,0,0,6056,8.6705,56.383,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2
5,5,5,"POLYGON ((968433.4348778214 7636684.861747535, 968433.4348778214 7646684.861747535, 958433.4348778214 7646684.861747535, 958433.4348778214 7636684.861747535, 968433.4348778214 7636684.861747535))",34,34,6056,8.6705,56.383,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0,5,2,2,6056,8.6705,56.383,8.65,6.85,13.8,14.7,26.8,24.2,23.6,24.6,21.4,17.6,12.6,9.8,5,5,25,25,6056,8.6705,56.383,4.6,5.3,5.0,5.3,4.4,4.8,3.8,3.8,3.5,5.4,4.2,5.25,5,0,0,6056,8.6705,56.383,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2
6,6,6,"POLYGON ((1028433.434877821 7736684.861747535, 1028433.434877821 7746684.861747535, 1018433.434877821 7746684.861747535, 1018433.434877821 7736684.861747535, 1028433.434877821 7736684.861747535))",35,35,6065,9.5067,56.7558,-8.5,-9.2,-7.399999999999999,-3.7,-0.1,7.5,6.3,5.7,3.8,-0.4,-3.1,-4.4,6,14,14,6065,9.5067,56.7558,9.1,6.4,13.6,15.5,26.6,24.6,23.9,24.0,19.1,16.6,12.6,10.0,6,6,8,8,6065,9.5067,56.7558,3.95,4.6,4.75,5.1,3.8,4.6,3.5,3.3,3.0,4.3,3.6,4.45,6,18,18,6065,9.5067,56.7558,57.63333333333333,77.02499999999999,106.125,182.5666666666667,222.96666666666667,213.9,182.2,188.76666666666665,155.13333333333333,83.43333333333334,59.43333333333334,44.333333333333336
7,7,11,"POLYGON ((1048433.434877821 7646684.861747535, 1048433.434877821 7656684.861747535, 1038433.434877821 7656684.861747535, 1038433.434877821 7646684.861747535, 1048433.434877821 7646684.861747535))",35,35,6065,9.5067,56.7558,-8.5,-9.2,-7.399999999999999,-3.7,-0.1,7.5,6.3,5.7,3.8,-0.4,-3.1,-4.4,11,14,14,6065,9.5067,56.7558,9.1,6.4,13.6,15.5,26.6,24.6,23.9,24.0,19.1,16.6,12.6,10.0,7,11,8,8,6065,9.5067,56.7558,3.95,4.6,4.75,5.1,3.8,4.6,3.5,3.3,3.0,4.3,3.6,4.45,11,18,18,6065,9.5067,56.7558,57.63333333333333,77.02499999999999,106.125,182.5666666666667,222.96666666666667,213.9,182.2,188.76666666666665,155.13333333333333,83.43333333333334,59.43333333333334,44.333333333333336
8,8,12,"POLYGON ((1058433.434877821 7736684.861747535, 1058433.434877821 7746684.861747535, 1048433.434877821 7746684.861747535, 1048433.434877821 7736684.861747535, 1058433.434877821 7736684.861747535))",35,35,6065,9.5067,56.7558,-8.5,-9.2,-7.399999999999999,-3.7,-0.1,7.5,6.3,5.7,3.8,-0.4,-3.1,-4.4,12,14,14,6065,9.5067,56.7558,9.1,6.4,13.6,15.5,26.6,24.6,23.9,24.0,19.1,16.6,12.6,10.0,8,12,8,8,6065,9.5067,56.7558,3.95,4.6,4.75,5.1,3.8,4.6,3.5,3.3,3.0,4.3,3.6,4.45,12,18,18,6065,9.5067,56.7558,57.63333333333333,77.02499999999999,106.125,182.5666666666667,222.96666666666667,213.9,182.2,188.76666666666665,155.13333333333333,83.43333333333334,59.43333333333334,44.333333333333336
9,9,16,"POLYGON ((1118433.434877821 7726684.861747535, 1118433.434877821 7736684.861747535, 1108433.434877821 7736684.861747535, 1108433.434877821 7726684.861747535, 1118433.434877821 7726684.861747535))",35,35,6065,9.5067,56.7558,-8.5,-9.2,-7.399999999999999,-3.7,-0.1,7.5,6.3,5.7,3.8,-0.4,-3.1,-4.4,16,14,14,6065,9.5067,56.7558,9.1,6.4,13.6,15.5,26.6,24.6,23.9,24.0,19.1,16.6,12.6,10.0,9,16,8,8,6065,9.5067,56.7558,3.95,4.6,4.75,5.1,3.8,4.6,3.5,3.3,3.0,4.3,3.6,4.45,16,18,18,6065,9.5067,56.7558,57.63333333333333,77.02499999999999,106.125,182.5666666666667,222.96666666666667,213.9,182.2,188.76666666666665,155.13333333333333,83.43333333333334,59.43333333333334,44.333333333333336
